of/IN matters/NNS on/IN constitutionality/NN
arrogant/JJ administration/NN on/IN this/DT house/NN
our/PRP$ troops/NNS on/IN the/DT field/NN
our/PRP$ troops/NNS on/IN action/NN
or/CC misused/VBN on/IN iraq/NN right/RB
the/DT progress/NN on/IN the/DT front/NN
and/CC safety/NN on/IN these/DT young/JJ
the/DT rest/NN on/IN us/PRP of/IN
proper/JJ accounting/NN on/IN where/WRB the/DT
democratic/JJ amendments/NNS on/IN an/DT extremely/RB
largest/JJS employer/NN on/IN national/JJ guard/NN
the/DT forces/NNS on/IN terror/NN terrorists/NNS
the/DT floor/NN on/IN the/DT house/NN
one/NN did/VBD on/IN the/DT committee/NN
the/DT chairman/NN on/IN the/DT committee/NN
not/RB appear/VB on/IN the/DT bill/NN
the/DT floor/NN on/IN the/DT house/NN
a/DT markup/NN on/IN the/DT bill/NN
a/DT total/NN on/IN five/CD amendments/NNS
bill/NN all/DT on/IN which/WDT failed/VBD
section/NN b/NN on/IN rule/NN xiii/NNS
established/JJ practice/NN on/IN house/NN reports/NNS
the/DT chairman/NN on/IN the/DT committee/NN
the/DT proceedings/NNS on/IN committee/NN activities/NNS
the/DT procedures/NNS on/IN the/DT committee/NN
earlier/JJR versions/NNS on/IN hr/NN were/VBD
nonpartisan/JJ portion/NN on/IN a/DT committee/NN
an/DT abuse/NN on/IN power/NN by/IN
the/DT majority/NN on/IN the/DT committee/NN
the/DT integrity/NN on/IN the/DT proceedings/NNS
the/DT proceedings/NNS on/IN the/DT house/NN
the/DT house/NN on/IN representatives/NNS finds/VBZ
the/DT chairman/NN on/IN such/JJ committee/NN
rule/VB ix/NN on/IN the/DT rules/NNS
the/DT rules/NNS on/IN the/DT house/NN
the/DT basis/NN on/IN my/PRP$ question/NN
my/PRP$ question/NN on/IN personal/JJ privilege/NN
s/VBZ consideration/NN on/IN hr/NN in/IN
actual/JJ content/NN on/IN the/DT amendments/NNS
house/NN nor/CC on/IN my/PRP$ quarter/NN
minutes/NNS ago/RB on/IN the/DT supplemental/JJ
tacit/JJ acknowledgment/NN on/IN the/DT inaccuracy/NN
renders/NNS much/RB on/IN what/WP was/VBD
its/PRP$ defense/NN on/IN the/DT committee/NN
this/DT correction/NN on/IN the/DT slanderous/JJ
colleagues/NNS offered/VBN on/IN committee/NN on/IN
on/IN committee/NN on/IN good/JJ faith/NN
the/DT intent/NN on/IN protecting/VBG children/NNS
a/DT transcript/NN on/IN the/DT markup/NN
the/DT content/NN on/IN the/DT amendments/NNS
every/DT member/NN on/IN this/DT house/NN
every/DT member/NN on/IN this/DT house/NN
a/DT version/NN on/IN the/DT same/JJ
same/JJ amendment/NN on/IN the/DT following/VBG
the/DT offense/NN on/IN transporting/VBG minors/NNS
the/DT purpose/NN on/IN obtaining/VBG an/DT
abortion/NN grandparents/NNS on/IN the/DT minor/JJ
and/CC members/NNS on/IN the/DT clergy/NNS
in/IN some/DT on/IN the/DT most/RBS
a/DT grandparent/NN on/IN the/DT minor/JJ
factual/JJ descriptions/NNS on/IN the/DT amendment/NN
the/DT filing/NN on/IN the/DT report/NN
speak/VB out/RP on/IN clear/JJ terms/NNS
important/JJ issues/NNS on/IN the/DT day/NN
great/JJ deal/NN on/IN time/NN trying/VBG
majority/NN staff/NN on/IN the/DT judiciary/NN
the/DT audit/NN on/IN us/PRP funds/NNS
the/DT constitution/NN on/IN the/DT united/VBN
the/DT members/NNS on/IN the/DT committee/NN
commend/VB all/DT on/IN the/DT members/NNS
they/PRP have/VBP on/IN protecting/VBG the/DT
civil/JJ liberties/NNS on/IN our/PRP$ country/NN
the/DT heart/NN on/IN our/PRP$ democracy/NN
the/DT abuse/NN on/IN power/NN on/IN
on/IN power/NN on/IN the/DT republican/JJ
the/DT congress/NN on/IN the/DT united/VBN
states/NNS both/DT on/IN the/DT house/NN
curbing/VBG debate/NN on/IN this/DT house/NN
be/VB mindful/JJ on/IN a/DT standard/NN
all/DT times/NNS on/IN a/DT manner/NN
the/DT house/NN on/IN representatives/NNS
the/DT majority/NN on/IN the/DT committee/NN
gross/JJ abuse/NN on/IN power/NN in/IN
discussion/NN think/VBP on/IN the/DT precedent/NN
report/NN flies/VBZ on/IN the/DT face/NN
the/DT face/NN on/IN the/DT comity/NN
the/DT chairman/NN on/IN the/DT committee/NN
the/DT members/NNS on/IN both/DT parties/NNS
the/DT chairman/NN on/IN the/DT committee/NN
said/VBD many/JJ on/IN us/PRP while/IN
held/VBN him/PRP on/IN great/JJ esteem/NN
the/DT merits/NNS on/IN the/DT bill/NN
the/DT leadership/NN on/IN the/DT committee/NN
another/DT extension/NN on/IN the/DT abuse/NN
the/DT abuse/NN on/IN power/NN on/IN
on/IN power/NN on/IN the/DT republican/JJ
both/DT chambers/NNS on/IN the/DT congress/NN
i/FW rise/NN on/IN strong/JJ support/NN
strong/JJ support/NN on/IN the/DT emergency/NN
i/FW commend/VB on/IN particular/JJ the/DT
new/JJ chairman/NN on/IN the/DT committee/NN
the/DT members/NNS on/IN his/PRP$ committee/NN
have/VBP succeeded/VBN on/IN adding/VBG million/CD
critical/JJ advance/NN on/IN the/DT war/NN
front/NN lines/NNS on/IN the/DT war/NN
principled/JJ manner/NN on/IN approaching/VBG this/DT
a/DT markup/NN on/IN my/PRP$ bill/NN
was/VBD constituted/VBN on/IN order/NN to/TO
this/DT morning/NN on/IN the/DT daily/JJ
a/DT member/NN on/IN the/DT judiciary/NN
the/DT business/NN on/IN professional/JJ transport/NN
the/DT staff/NN on/IN a/DT committee/NN
the/DT potential/NN on/IN sexual/JJ predators/NNS
us/PRP department/NN on/IN health/NN and/CC
teens/NNS showed/VBD on/IN minor/JJ girls/NNS
additional/JJ layer/NN on/IN federal/JJ court/NN
done/VBN nothing/NN on/IN the/DT sort/NN
the/DT sort/NN on/IN course/NN and/CC
instead/RB on/IN admitting/VBG the/DT
judiciary/NN markup/NN on/IN hr/NN in/IN
sole/JJ purpose/NN on/IN distorting/VBG the/DT
original/JJ intent/NN on/IN the/DT authors/NNS
the/DT judiciary/NN on/IN all/DT things/NNS
democrat/NN members/NNS on/IN the/DT committee/NN
yet/RB we/PRP on/IN this/DT congress/NN
same/JJ level/NN on/IN accountability/NN today/NN
that/IN billion/CD on/IN money/NN spent/VBN
the/DT issues/NNS on/IN taxpayer/NN dollars/NNS
the/DT line/NN on/IN fire/NN
not/RB be/VB on/IN the/DT bill/NN
were/VBD included/VBN on/IN the/DT committee/NN
the/DT chairman/NN on/IN the/DT committee/NN
for/IN because/RB on/IN inefficiencies/NNS and/CC
stop/VB consideration/NN on/IN the/DT emergency/NN
the/DT text/NN on/IN the/DT amendment/NN
be/VB printed/VBN on/IN the/DT record/NN
the/DT balance/NN on/IN my/PRP$ time/NN
is/VBZ billion/CD on/IN additional/JJ spending/NN
as/IN cents/NNS on/IN every/DT dollar/NN
disappointed/JJ because/IN on/IN the/DT mischaracterization/NN
the/DT mischaracterization/NN on/IN the/DT amendments/NNS
the/DT amendments/NNS on/IN the/DT committee/NN
sunk/VBN to/TO on/IN this/DT congress/NN
heard/VBN some/DT on/IN our/PRP$ friends/NNS
is/VBZ nothing/NN on/IN the/DT real/JJ
bill/NN instead/RB on/IN just/RB relying/VBG
you/PRP are/VBP on/IN lawful/JJ status/NN
you/PRP are/VBP on/IN a/DT temporary/JJ
to/TO be/VB on/IN this/DT country/NN
had/VBN that/DT on/IN place/NN of/IN
prevent/VB s/PRP on/IN the/DT future/NN
the/DT balance/NN on/IN the/DT week/NN
done/VBN today/NN on/IN a/DT way/NN
not/RB all/DT on/IN these/DT bills/NNS
early/JJ part/NN on/IN July/NNP and/CC
have/VB some/DT on/IN these/DT bills/NNS
the/DT week/NN on/IN may/MD
on/IN many/JJ ways/NNS
the/DT chairman/NN on/IN the/DT committee/NN
the/DT world/NN on/IN guns/NNS and/CC
the/DT city/NN on/IN cincinnati/NNS the/DT
and/CC percent/NN on/IN these/DT individuals/NNS
distinguished/JJ author/NN on/IN this/DT amendment/NN
put/VB children/NNS on/IN jail/NN as/IN
minimums/NNS proscribed/VBD on/IN this/DT legislation/NN
only/RB result/VB on/IN many/JJ young/JJ
the/DT circumstances/NNS on/IN rather/RB than/IN
the/DT week/NN on/IN may/MD to/TO
floor/NN consideration/NN on/IN hr/NN the/DT
protection/NN act/NN on/IN
one/CD copy/NN on/IN a/DT brief/JJ
brief/JJ explanation/NN on/IN the/DT amendment/NN
of/IN rules/NNS on/IN room/NN h/NN
the/DT report/NN on/IN the/DT committee/NN
the/DT text/NN on/IN the/DT reported/VBN
the/DT face/NN on/IN the/DT earth/NN
the/DT rise/NN on/IN violent/JJ gang/NN
in/IN behalf/NN on/IN the/DT major/JJ
into/IN some/DT on/IN our/PRP$ most/RBS
will/MD aid/VB on/IN this/DT strugge/NN
gang/NN violence/NN on/IN america/NN we/PRP
provisions/NNS contained/VBN on/IN hr/NN
of/IN behalf/NN on/IN our/PRP$ members/NNS
urge/VBP passage/NN on/IN hr/NN
and/CC supporters/NNS on/IN the/DT law/NN
protection/NN act/NN on/IN hr/NN
of/IN behalf/NN on/IN the/DT national/JJ
protection/NN act/NN on/IN this/DT much/JJ
of/IN behalf/NN on/IN the/DT national/JJ
national/JJ association/NN on/IN police/NN organizations/NNS
protection/NN act/NN on/IN and/CC advise/VB
growing/VBG problem/NN on/IN criminal/JJ gang/NN
enforcement/NN agencies/NNS on/IN these/DT designated/VBN
can/MD be/VB on/IN any/DT further/JJ
support/VBP all/DT on/IN the/DT provisions/NNS
adopt/VB all/DT on/IN the/DT provisions/NNS
in/IN behalf/NN on/IN a/DT criminal/JJ
of/IN behalf/NN on/IN the/DT criminal/JJ
a/DT crime/NN on/IN violence/NN and/CC
and/CC appropriations/NNS on/IN the/DT newly/RB
by/IN direction/NN on/IN the/DT committee/NN
provides/VBZ hour/NN on/IN general/JJ debate/NN
minority/NN member/NN on/IN the/DT committee/NN
the/DT nature/NN on/IN a/DT substitute/NN
the/DT purpose/NN on/IN amendment/NN and/CC
it/PRP makes/VBZ on/IN order/NN only/RB
amendments/NNS printed/VBN on/IN the/DT committee/NN
a/DT juvenile/JJ on/IN federal/JJ court/NN
the/DT chairman/NN on/IN the/DT committee/NN
distinguished/JJ author/NN on/IN the/DT bill/NN
and/CC member/NN on/IN the/DT committee/NN
gang/NN problems/NNS on/IN heavily/RB populated/VBN
the/DT rise/NN on/IN rural/JJ areas/NNS
dangerous/JJ gang/NN on/IN america/NN on/IN
on/IN america/NN on/IN my/PRP$ congressional/JJ
the/DT number/NN on/IN illegal/JJ aliens/NNS
aliens/NNS participating/VBG on/IN this/DT gang/NN
sophisticated/JJ gang/NN on/IN illegal/JJ and/CC
national/JJ expansion/NN on/IN the/DT united/VBN
who/WP participate/VB on/IN gang/NN activities/NNS
the/DT grounds/NNS on/IN a/DT criminal/JJ
the/DT names/NNS on/IN individuals/NNS who/WP
us/PRP deportation/NN on/IN criminals/NNS you/PRP
shot/VBN dead/JJ on/IN herndon/NN by/IN
could/MD result/VB on/IN wrongful/JJ convictions/NNS
incarcerating/VBG children/NNS on/IN adult/NN prisons/NNS
protection/NN act/NN on/IN at/IN the/DT
other/JJ provision/NN on/IN this/DT resolution/NN
amendment/NN numbered/VBD on/IN the/DT report/NN
a/DT result/NN on/IN state/NN and/CC
for/IN deployment/NN on/IN communityoriented/JJ policing/VBG
for/IN deployment/NN on/IN communityoriented/JJ policing/VBG
the/DT number/NN on/IN officers/NNS deployed/VBN
officers/NNS deployed/VBN on/IN communityoriented/JJ policing/VBG
enforcement/NN agencies/NNS on/IN reorienting/VBG the/DT
purposes/NNS described/VBN on/IN subsection/NN b/NN
the/DT portion/NN on/IN the/DT costs/NNS
the/DT bureau/NN on/IN indian/JJ affairs/NNS
the/DT requirement/NN on/IN paragraph/NN to/TO
the/DT case/NN on/IN a/DT recipient/JJ
early/JJ time/NN on/IN my/PRP$ career/NN
out/RP those/DT on/IN us/PRP who/WP
on/IN fact/NN the/DT
the/DT importance/NN on/IN intervention/NN of/IN
on/IN fact/NN out/IN
large/JJ numbers/NNS on/IN people/NNS from/IN
i/FW have/VBP on/IN fact/NN written/VBN
the/DT passage/NN on/IN the/DT patriot/NN
those/DT engaging/VBG on/IN terrorist/JJ acts/NNS
ever/RB seen/VBN on/IN this/DT country/NN
a/DT prison/NN on/IN california/NN can/MD
the/DT streets/NNS on/IN virginia/NN or/CC
a/DT prison/NN on/IN virginia/NN order/NN
an/DT execution/NN on/IN a/DT prison/NN
a/DT prison/NN on/IN la/DT
a/DT number/NN on/IN appropriation/NN bills/NNS
the/DT spike/NN on/IN gang/NN activity/NN
los/NNS angeles/NNS on/IN the/DT September/NNP
judicial/JJ conference/NN on/IN the/DT united/VBN
of/IN punishment/NN on/IN other/JJ words/NNS
what/WP type/NN on/IN punishment/NN fits/VBZ
studies/NNS on/IN head/NN start/NN
the/DT number/NN on/IN police/NN who/WP
were/VBD made/VBN on/IN order/NN and/CC
was/VBD denied/VBN on/IN the/DT committee/NN
the/DT purchase/NN on/IN firearms/NNS ammunition/NN
be/VB made/VBN on/IN person/NN and/CC
ruled/VBN out/RP on/IN order/NN by/IN
not/RB made/VBN on/IN order/NN not/RB
the/DT balance/NN on/IN my/PRP$ time/NN
union/NN chamber/NN on/IN commerce/NN on/IN
on/IN commerce/NN on/IN the/DT united/VBN
national/JJ federation/NN on/IN independent/JJ business/NN
bishops/NNS all/DT on/IN opposition/NN to/TO
the/DT majority/NN on/IN the/DT committee/NN
not/RB make/VB on/IN order/NN today/NN
dear/RB member/NN on/IN congress/NN of/IN
of/IN behalf/NN on/IN the/DT national/JJ
national/JJ council/NN on/IN la/DT raza/NN
rights/NNS organization/NN on/IN the/DT us/PRP
provisions/NNS contained/VBN on/IN the/DT gang/NN
protection/NN act/NN on/IN hr/NN which/WDT
discretion/NN results/NNS on/IN a/DT disparity/NN
and/CC quality/NN on/IN defense/NN attorney/NN
the/DT intent/NN on/IN this/DT legislation/NN
be/VB made/VBN on/IN person/NN and/CC
in/IN behalf/NN on/IN the/DT united/VBN
oppose/VB provisions/NNS on/IN hr/NN gang/NN
the/DT use/NN on/IN the/DT death/NN
the/DT safety/NN on/IN persons/NNS public/JJ
concrete/JJ conditions/NNS on/IN the/DT common/JJ
are/VBP more/RBR on/IN conformity/NN to/TO
we/PRP stated/VBD on/IN our/PRP$ pastoral/JJ
sometimes/RB resulting/VBG on/IN harsh/JJ and/CC
incarcerating/VBG children/NNS on/IN adult/NN prisons/NNS
federal/JJ government/NN on/IN hr/NN is/VBZ
death/NN penalty/NN on/IN lieu/NN in/IN
superior/JJ efforts/NNS on/IN the/DT states/NNS
does/VBZ none/NN on/IN these/DT things/NNS
enforcement/NN act/NN on/IN focuses/VBZ of/IN
the/DT text/NN on/IN the/DT amendment/NN
the/DT point/NN on/IN order/NN that/IN
the/DT department/NN on/IN homeland/NN security/NN
a/DT number/NN on/IN types/NNS in/IN
final/JJ order/NN on/IN removal/NN issued/VBN
tourist/NN visa/NN on/IN which/WDT expired/VBD
visa/NN issued/VBN on/IN jordan/NN on/IN
on/IN jordan/NN on/IN
student/NN visa/NN on/IN left/JJ school/NN
the/DT terms/NNS on/IN his/PRP$ visa/NN
the/DT attacks/NNS on/IN and/CC approximately/RB
anecdotal/JJ evidence/NN on/IN the/DT need/NN
the/DT need/NN on/IN this/DT sort/NN
some/DT statistics/NNS on/IN relation/NN to/TO
the/DT number/NN on/IN illegals/NNS among/IN
he/PRP indicated/VBD on/IN his/PRP$ statement/NN
how/WRB many/JJ on/IN these/DT gang/NN
ask/VB all/DT on/IN our/PRP$ colleagues/NNS
both/DT sides/NNS on/IN the/DT aisle/NN
many/JJ parts/NNS on/IN the/DT country/NN
of/IN place/NN on/IN the/DT discretion/NN
the/DT discretion/NN on/IN a/DT judge/NN
the/DT sponsors/NNS on/IN this/DT bill/NN
large/JJ amounts/NNS on/IN territory/NN and/CC
as/IN many/JJ on/IN my/PRP$ democratic/JJ
kids/NNS out/IN on/IN gangs/NNS but/CC
bill/NN and/CC on/IN the/DT committee/NN
prevention/NN programs/NNS on/IN this/DT bill/NN
prevention/NN funding/NN on/IN the/DT senate/NN
bill/NN and/CC on/IN my/PRP$ own/JJ
stripped/VBN out/RP on/IN the/DT antigang/JJ
front/JJ end/NN on/IN timetested/VBN and/CC
kids/NNS out/RP on/IN trouble/NN makes/VBZ
sense/NN both/DT on/IN terms/NNS on/IN
on/IN terms/NNS on/IN dollars/NNS saved/VBN
the/DT senate/NN on/IN a/DT form/NN
either/DT side/NN on/IN the/DT aisle/NN
my/PRP$ side/NN on/IN the/DT aisle/NN
gop/NN member/NN on/IN the/DT committee/NN
prevention/NN funding/NN on/IN committee/NN
no/DT amendments/NNS on/IN this/DT rule/NN
but/CC all/DT on/IN the/DT studies/NNS
effective/JJ use/NN on/IN the/DT taxpayers/NNS
bill/NN is/VBZ on/IN no/DT way/NN
the/DT members/NNS on/IN the/DT subcommittee/NN
and/CC expertise/NN on/IN law/NN enforcement/NN
from/IN recommendations/NNS on/IN those/DT experts/NNS
was/VBD full/JJ on/IN collaborative/JJ efforts/NNS
national/JJ average/NN on/IN per/IN
long/JJ period/NN on/IN time/NN and/CC
adult/NN treatment/NN on/IN more/JJR juveniles/NNS
is/VBZ discriminatory/JJ on/IN its/PRP$ application/NN
kids/NNS out/RP on/IN gangs/NNS
none/NN on/IN them/PRP asked/VBD
a/DT member/NN on/IN the/DT committee/NN
the/DT balance/NN on/IN my/PRP$ time/NN
ranking/JJ member/NN on/IN the/DT committee/NN
ranking/JJ member/NN on/IN the/DT committee/NN
gang/NN epidemic/NN on/IN our/PRP$ country/NN
in/IN behalf/NN on/IN america/NN s/VBZ
the/DT roots/NNS on/IN our/PRP$ society/NN
the/DT fabric/NN on/IN our/PRP$ society/NN
are/VBP convicted/VBN on/IN those/DT crimes/NNS
be/VB thinking/VBG on/IN doing/VBG it/PRP
one/CD paragraph/NN on/IN this/DT story/NN
five/CD members/NNS on/IN mara/NN salvatrucha/NN
shooting/NN death/NN on/IN monthold/NN alden/JJ
was/VBD trapped/VBN on/IN his/PRP$ car/NN
an/DT monthold/NN on/IN that/DT circumstance/NN
the/DT opponents/NNS on/IN this/DT bill/NN
the/DT violence/NN on/IN gang/NN activity/NN
the/DT number/NN on/IN murders/NNS the/DT
the/DT number/NN on/IN maimings/NNS that/IN
the/DT department/NN on/IN justice/NN has/VBZ
a/DT b/NN on/IN the/DT taxpayers/NNS
a/DT clarification/NN on/IN the/DT ban/NN
in/IN possession/NN on/IN hand/NN guns/NNS
a/DT crime/NN on/IN violence/NN or/CC
on/IN addition/NN the/DT
the/DT department/NN on/IN homeland/NN security/NN
another/DT billion/CD on/IN taxpayer/NN funds/NNS
criminals/NNS out/RP on/IN the/DT country/NN
the/DT heads/NNS on/IN the/DT leaders/NNS
opposite/JJ side/NN on/IN the/DT aisle/NN
the/DT idea/NN on/IN a/DT broader/JJR
a/DT number/NN on/IN areas/NNS to/TO
at/IN risk/NN on/IN rejoining/VBG a/DT
the/DT backs/NNS on/IN young/JJ people/NNS
will/MD use/VB on/IN their/PRP$ campaigns/NNS
day/NN basis/NN on/IN their/PRP$ jurisdictions/NNS
elected/VBN officials/NNS on/IN conjunction/NN with/IN
the/DT bureau/NN on/IN alcohol/NN tobacco/NN
the/DT poor/JJ on/IN the/DT inner/JJ
in/IN behalf/NN on/IN brenda/NN paz/NN
that/WDT live/VBP on/IN culmore/NN and/CC
that/WDT live/VBP on/IN houston/NN and/CC
honduran/NN city/NN on/IN san/NN pedro/NN
individuals/NNS six/CD on/IN them/PRP were/VBD
other/JJ side/NN on/IN the/DT aisle/NN
deeply/RB disappointed/VBN on/IN their/PRP$ legislation/NN
it/PRP relies/VBZ on/IN significant/JJ part/NN
hr/NN because/IN on/IN my/PRP$ concern/NN
was/VBD swayed/VBN on/IN the/DT end/NN
aliens/NNS involved/VBN on/IN gangs/NNS
immigrants/NNS settling/VBG on/IN the/DT united/VBN
other/JJ time/NN on/IN our/PRP$ nation/NN
i/FW expressed/VBN on/IN the/DT committee/NN
treats/VBZ juveniles/NNS on/IN some/DT cases/NNS
the/DT age/NN on/IN offenders/NNS
powerful/JJ tool/NN on/IN the/DT fight/NN
one/CD on/IN the/DT things/NNS
but/CC one/CD on/IN the/DT most/RBS
on/IN may/MD in/IN
easily/RB compete/VB on/IN the/DT world/NN
with/IN concerns/NNS on/IN sovereignty/NN issues/NNS
be/VB put/VBN on/IN jeopardy/NN with/IN
come/VBN out/RP on/IN the/DT committee/NN
a/DT recommendation/NN on/IN the/DT committee/NN
the/DT stealing/VBG on/IN our/PRP$ intellectual/JJ
agreed/VBN that/IN on/IN order/NN to/TO
the/DT members/NNS on/IN the/DT wto/NN
significant/JJ level/NN on/IN agreement/NN by/IN
distinguished/JJ member/NN on/IN the/DT committee/NN
tried/VBN twice/RB on/IN the/DT last/JJ
the/DT issue/NN on/IN the/DT outsourcing/VBG
the/DT outsourcing/VBG on/IN american/JJ jobs/NNS
working/VBG people/NNS on/IN america/NN is/VBZ
another/DT aspect/NN on/IN this/DT wto/NN
the/DT goal/NN on/IN the/DT gatt/NN
that/DT path/NN on/IN prosperity/NN that/WDT
the/DT head/NN on/IN focusing/VBG in/IN
whole/JJ issue/NN on/IN trade/NN the/DT
the/DT shortcomings/NNS on/IN the/DT current/JJ
that/IN instead/RB on/IN debating/VBG whether/IN
were/VBD one/CD on/IN the/DT founders/NNS
by/IN direction/NN on/IN the/DT committee/NN
ranking/JJ member/NN on/IN the/DT committee/NN
that/IN members/NNS on/IN the/DT house/NN
a/DT vote/NN on/IN the/DT house/NN
of/IN support/NN on/IN this/DT rule/NN
pleased/JJ that/IN on/IN the/DT world/NN
apple/NN growers/NNS on/IN central/JJ washington/NN
shut/VBN out/RP on/IN these/DT export/NN
in/IN millions/NNS on/IN jobs/NNS depending/VBG
distinguished/JJ chairman/NN on/IN the/DT committee/NN
our/PRP$ success/NN on/IN selling/VBG these/DT
other/JJ members/NNS on/IN the/DT international/JJ
anticompetitive/JJ practices/NNS on/IN foreign/JJ countries/NNS
means/NNS and/CC on/IN the/DT congress/NN
the/DT industries/NNS on/IN my/PRP$ district/NN
those/DT millions/NNS on/IN families/NNS who/WP
grass/NN growing/VBG on/IN parking/NN lots/NNS
supreme/NN law/NN on/IN economics/NNS and/CC
get/VB out/RP on/IN the/DT wto/NN
that/WDT many/JJ on/IN us/PRP worked/VBD
put/VB safeguards/NNS on/IN
effective/JJ operation/NN on/IN the/DT wto/NN
have/VBP kind/NN on/IN a/DT group/NN
critical/JJ point/NN on/IN globalization/NN a/DT
of/IN terms/NNS on/IN helping/VBG the/DT
so/RB on/IN a/DT word/NN
these/DT subsidies/NNS on/IN particular/JJ launch/NN
the/DT risk/NN on/IN aircraft/NN development/NN
a/DT member/NN on/IN the/DT house/NN
economic/JJ engine/NN on/IN my/PRP$ district/NN
are/VBP many/JJ on/IN us/PRP who/WP
founders/NNS believed/VBN on/IN and/CC permitted/VBD
much/JJ interested/JJ on/IN
would/MD come/VB on/IN and/CC find/VB
trade/NN deficit/NN on/IN billion/CD the/DT
